time_E Nt_E LCL_E median_E UCL_E	time_W Nt_W LCL_W median_W UCL_W
412000 24652191.421739 13544518.0314945 16970520.7242402 29673034.870193	412000 270207821.13691 34694372.8947807 62691059.971654 115035081.179901
413000 24147149.0484727 13474436.5528356 16789071.0387247 29315604.6797118	413000 256280877.422843 34418500.3623724 62939462.4736309 117498645.112331
414000 23673221.3782902 13412184.589785 16619000.4086869 29263210.488323	414000 243304957.974305 34158342.2840215 63191369.3606058 120046182.479206
415000 23229918.2921091 13357522.4572565 16459581.6198442 29327109.8022014	415000 231205664.666233 33913187.5216238 63446761.5316401 122675409.156878
416000 22814853.6789376 13310241.8508341 16310162.4156716 29393504.8565728	416000 219914366.615482 33682382.0431528 63705628.9066487 125383286.309165
417000 22425898.7265857 13270163.6118 16173351.645896 29461688.870844	417000 209367905.420141 33465324.0417115 63967970.9680146 128165936.997616
418000 22061148.9147829 13237135.8407156 16075444.1115098 29531004.8719363	418000 199508263.116444 33261459.5847903 63285964.3611063 131021890.5508
419000 21718896.0046713 13211032.3186738 16031301.3666584 29600840.7817417	419000 190282213.149976 32958715.0853854 61690766.5743936 133952226.08873
420000 21397604.166858 13191751.2028743 16019956.869987 29670625.332709	420000 181640968.608679 32595383.1222623 59987736.450438 136949133.815076
421000 21095889.554717 13179213.969505 16024371.1247744 29739824.6787198	421000 173539837.458225 32245811.9468626 58353549.79064 140003456.254287
422000 20812502.7594942 13173364.5822756 16035901.6098287 29807939.5912005	422000 165937891.195722 31909489.930784 56784573.2657759 143104903.193665
423000 20546313.6869129 13174168.8695787 16054095.3512835 29874503.1486734	423000 158797650.911608 31585937.8620514 55277408.9704367 146241974.881926
424000 20296298.4773781 13181614.0972928 16079025.6628253 29939078.842661	424000 152084793.001094 31274706.6317232 53834286.6031452 149401901.741284
425000 20061528.1580675 13195708.7278513 16110785.649119 30001259.0347821	425000 145767875.52543 30975544.3330213 52465474.3537236 152570604.830048
426000 19841158.7686502 13216482.3594793 16149489.0397221 30060663.7096021	426000 139818085.359221 30690838.9768948 51167310.0170119 155732681.644354
427000 19634422.7457525 13231099.4953162 16195271.2009948 30116939.4757877	427000 134209005.674257 30420919.6534258 49946316.6458144 158951612.238256
428000 19440621.3866748 13222946.9663093 16248290.3429568 30169758.7747205	428000 128916402.927946 30165098.4559196 48799463.8363242 162350069.305663
429000 19259118.2418438 13222366.2040881 16308728.9416346 30218819.261234	429000 123918032.289602 29922742.6237533 47720564.0371081 165682587.37722
430000 19089333.3093475 13229346.7320643 16376795.4016095 30263843.3257771	430000 119193460.308438 29693269.5983291 46704109.6544904 168929671.613041
431000 18930737.924611 13243904.5722862 16452725.9883508 30304577.7312512	431000 114723903.572212 29476142.6454495 45745182.290689 172070937.717121
432000 18782850.2546412 13266082.3332251 16536787.0656772 30340793.3411651	432000 110492082.102027 29270866.9705352 45405021.037157 175085341.41459
433000 18645231.3199059 13295949.5341119 16629277.6805252 30372284.9187065	433000 106482086.259932 29076986.2641427 45115637.7379287 177951453.525373
434000 18517481.4783242 13333603.1706077 16730532.5453869 30398870.978945	434000 102679255.999569 28894079.6244375 44852117.2408741 180647777.805817
435000 18399237.315432 13379168.5306823 16840925.4786172 30420393.6787148	435000 99070071.3571552 28721758.8109828 44613153.7401953 183152589.082652
436000 18290168.892871 13432800.2738905 16960873.3747264 30436718.73085	436000 95642053.154449 28559665.790677 44397578.9606021 185439655.803238
437000 18189977.314195 13494683.7919035 17090840.7912608 30447735.3313958	437000 92383672.9624993 28407470.5421343 44204348.1811858 187487667.079721
438000 18098392.5728065 13565036.8733106 17231345.2566067 30453356.0902338	438000 89284271.4519349 28264869.0894346 44032528.1536419 189278285.850253
439000 18015171.6518053 13611866.4600364 17382963.42486 30453516.9572714	439000 86333984.3302646 28131581.7400957 43881286.641597 190795052.209316
440000 17940096.8497911 13666796.2979595 17546338.2308756 30448177.1379692	440000 83523675.137858 28007351.5054829 43749883.3537546 192023762.783564
441000 17872974.3103317 13730299.493394 17722187.2321619 30437318.9935395	441000 80844874.2411692 27891942.6847441 43637662.0812195 192952811.282861
442000 17813632.7359896 13802618.3426339 17911312.3662569 30420947.9226489	442000 78289723.4239856 27785139.5958285 43544043.8803562 193573475.375061
443000 17761922.2705656 13884032.5691245 18114611.4050488 30399092.2229214	443000 75850925.5348553 27686745.439282 43468521.1681907 193880136.812924
444000 17717713.5356464 13974862.1504062 18333091.454414 30371802.9319566	444000 73521698.7014636 27596581.2823576 43410652.6187109 193870424.456302
445000 17680896.8096865 14075470.6298256 18423556.6485779 30339153.6489727	445000 71295734.6707137 27514485.1525853 43370058.7662814 193545273.319473
446000 17651381.3397611 14186268.9800824 18478025.0170425 30301240.339554	446000 69167160.8768608 27440311.2313518 43346418.2374199 192908896.78634
447000 17629094.7778414 14307720.0994743 18536590.852647 30258181.1273385	447000 67130505.8795561 27373929.1392673 43339464.5449185 191968673.370908
448000 17613982.7350029 14440344.0383467 18599352.8728966 30210116.0778238	448000 65180667.8493427 27315223.3061865 43348983.3891557 190734953.527669
449000 17606008.4484075 14560549.5502096 18666417.9893669 30157206.9808216	449000 63312885.8103318 27264092.4197086 43374810.4207912 189220795.719173
450000 17605152.5572397 14660231.1300892 18737901.8317182 30100743.6381835	450000 61522713.3787758 27220448.9468431 43416829.4271478 187441643.956454
451000 17611412.9850403 14769746.3306224 18813929.3268193 30042120.2611916	451000 59805994.7623314 27184218.7242958 43474970.9116993 185414961.148027
452000 17624804.9270998 14889533.4554216 18894635.3389379 30002079.9382489	452000 58158842.8082278 27155340.6135262 43549211.0424087 183159833.723372
453000 17645360.94277 15020084.3041942 19060863.6299817 30073519.3982412	453000 56577618.9096096 27133766.2173633 43636771.3990413 180696563.132054
454000 17673131.1537412 15161949.992534 19270059.0064723 30155324.0866673	454000 55078826.4842845 27119459.6555507 43658822.8826021 178046259.043029
455000 17708183.550544 15315747.7459538 19484923.7385549 30249036.2937271	455000 53678770.8338291 27112397.3971333 43378358.8921875 175230447.533076
456000 17750604.410788 15482168.8494322 19704340.9734583 30348584.0548902	456000 52368515.311473 27112568.1481109 43111233.5226349 172270705.456937
457000 17800498.8339642 15661987.9761831 19928196.8536689 30451848.874413	457000 51140143.3018354 27119972.7932672 42857014.2460924 169188329.75211
458000 17857991.3990479 15856074.1732971 20156356.2141238 30559144.7368039	458000 49986652.7452599 27134624.3915519 42615296.9829741 166004047.860678
459000 17923226.952662 16065403.8510042 20388661.0436055 30670762.330142	459000 48901828.1061338 27082869.0838302 42385704.3026668 162737772.937009
460000 17996371.5372348 16291076.2115703 20624928.9587188 31288140.631208	460000 47880133.2758121 27014182.7783668 42167883.7821141 159408405.203967
461000 18077613.4704431 16534331.6701554 20864951.7127218 32099480.5539864	461000 46916621.5230689 26940808.7336978 41961506.5076773 156033678.827949
462000 18167164.5893163 16779595.863184 21108493.7649247 32939380.2412726	462000 46006859.4085631 26826211.3153233 41766265.7072932 152630052.066959
463000 18265261.6747266 16996193.5749643 21355290.9399278 33807806.2105921	463000 45146862.2011887 26718117.1608339 41581875.5013843 149212637.228169
464000 18372168.0746742 17227662.9623701 21605049.2095409 34704486.9440728	464000 44333038.818157 26616387.5484782 41408069.7622357 145795166.141626
465000 18488175.5478484 17475013.7748173 21857443.6337227 35628872.6730099	465000 43562144.6901764 26520893.8479856 41244601.0726726 142389986.380118
466000 18613606.3524904 17739369.4153803 22112117.5001662 36580091.8237279	466000 42831241.2526188 26429440.6564223 41091239.7758621 139008083.281566
467000 18748815.6096899 18021982.2605789 22477430.0614535 37556904.5260857	467000 42137661.001398 26296076.5713104 40947773.1089446 135659122.901725
468000 18894193.9750364 18324251.6235319 23086367.6546661 38557653.8315108	468000 41478977.2422351 26168083.9567095 40814004.4139839 132351511.282193
469000 19050170.6581437 18647744.9045826 23736030.264147 39580215.5847347	469000 40852977.8145255 26032178.0791738 40689752.4204317 129092465.80591
470000 19217216.8361488 18994222.6065048 24432303.4604417 40694539.3810798	470000 40257642.1941644 25881643.2809779 40574850.5939267 125888094.879942
471000 19395849.5150486 19365668.0621905 25182457.7981851 41911524.0837312	471000 39691121.4795963 25736337.6411524 40469146.5468184 122743482.692163
472000 19586635.9019386 19764322.9436668 25973627.5719214 43149550.5733047	472000 39151720.8468 25596112.2731101 40372501.5063182 119662776.301584
473000 19790198.3621544 20192729.9093507 26247687.7221451 44404807.6718364	473000 38637884.1256127 25460825.8248493 40284789.8366399 116649272.817288
474000 20007220.0483797 20653784.1251331 26518168.2276365 45672895.0527588	474000 38148180.2046586 25319626.329791 40205898.6119188 113705504.881098
475000 20238451.304442 21126539.3210248 26784388.2605784 46948820.9384251	475000 37681291.0174522 25170502.1826704 40135727.2370788 110833323.083838
476000 20484716.9653628 21595949.0369076 27045644.8605901 48227018.9219056	476000 37236000.8998171 25026861.7797494 40074187.1141776 108033974.30877
477000 20746924.6980071 22104869.6655213 27113871.1534091 49590002.1313491	477000 36811187.1400367 24888546.0769222 40021201.352081 105308175.307106
478000 21026074.5543252 22388458.40762 27069480.7518174 51090363.228193	478000 36405811.5692813 24755404.4034644 39976704.5176275 102656181.070786
479000 21323269.94289 22647111.6444073 27024187.0071694 52591876.0236058	479000 36018913.0617646 24627294.0026767 39940642.4267258 100077847.780243
480000 21639730.2657179 22916426.0931518 26978059.0690726 54089007.8365264	480000 35649600.8325118 24504079.6054221 39912971.9740986 97572690.2742466
481000 21976805.5181733 23152368.4408236 26930760.9325958 55576258.9453918	481000 35297048.4361822 24385633.0339724 39893661.0006416 95139934.1201497
482000 22335993.2125985 23328943.5098027 26879545.4323994 57048356.5531217	482000 34960488.3835565 24271832.8338144 39882688.1976121 92778562.461336
483000 22718958.0644415 23508811.3381122 27198718.4151055 58500475.897917	483000 34639207.3034901 24162563.9312812 39880043.0470985 90487357.8894295
484000 23117297.5610716 23681778.7048593 27698723.6713078 59928481.9759593	484000 34332541.5876629 24057717.3150644 39885725.7984562 88264939.6367381
485000 23516120.6175005 23747126.6522125 28212158.3460095 61329182.0760201	485000 34039873.4635944 23957189.7398374 39899747.4806245 86109796.4137914
486000 23914587.1297518 23816500.396393 28935536.5143439 62700575.7915976	486000 33760627.4483673 23860883.4503753 39922129.9504673 84020315.2315143
487000 24311949.4205191 23890066.6805115 29859241.5596382 64042085.4848181	487000 33494267.1414921 23768705.9246986 39952905.977515 81994806.5508541
488000 24707412.491301 23967998.8700052 30419280.2445319 65966002.1157992	488000 33240292.3205007 23680569.6348969 40002461.5090628 80031526.097364
489000 25100134.9706342 24050477.4225482 30970201.1037506 69673195.4307365	489000 32998236.3073087 23596391.8244042 40223538.5067936 78128693.6666093
490000 25489230.6045151 24137690.3993347 31523416.8988191 73674113.291059	490000 32767663.5772403 23516094.3006027 40459493.892319 76284509.2302579
491000 25873770.3333379 24214364.7029641 32078707.8840251 77995132.16522	491000 32548167.5859475 23439603.2417287 40709531.6402905 74497166.633802
492000 26252784.9948733 24082371.9135763 32635840.2209544 82662335.7392153	492000 32339368.7923652 23366849.0171419 40967090.190033 72764865.1562798
493000 26625268.6863258 23952110.0783168 33194553.9952436 87699940.5132415	493000 32140912.8583702 23297766.0200976 41231255.7083207 71085819.1810227
494000 26990182.8102583 23823717.9369765 33754548.7569256 93128049.6720156	494000 31952469.0080281 23232292.5122369 41502002.8163341 69458266.2050532
495000 27346460.8191263 23697334.4160641 34315466.5774502 98959571.2049761	495000 31773728.5312431 23170370.4790732 41779304.6568966 68952825.3895491
496000 27693013.6613557 23573098.9002255 34876872.7041573 105196146.545836	496000 31604403.4183266 23111945.4958178 42063132.7263689 69070621.2707855
497000 28028735.9184213 23451151.5312364 35438233.9964268 111822990.484642	497000 31444225.1134909 23056966.6029415 42353456.7211969 69178840.0425466
498000 28352512.6074367 23331633.5362731 35998895.4468983 118802671.494353	498000 31292943.3765891 23005386.1909211 42650244.4011427 69277383.828029
499000 28663226.6076148 23214687.5874428 36558055.2253631 126069106.987853	499000 31150325.2435844 22957159.8936674 42953461.4714571 69366157.2654062
5e+05 28959766.6519712 23100458.194874 37114738.8306222 134095120.288513	5e+05 31016154.0772571 22912246.4901759 43263071.4864914 69445067.8229231
501000 29241035.8082688 22989092.1360274 37667773.0939546 142170866.217385	501000 30890228.7005715 22870607.8139801 43579035.7774948 69514026.1344572
502000 29505960.3559781 22880738.9243005 38356906.3475992 150098949.325779	502000 30772362.6059298 22832208.6700281 43901313.407606 69572946.3530222
503000 29753498.9495406 22775551.3204657 39100019.8979231 157637123.839673	503000 30662383.2342668 22797016.7586343 44229861.1573198 69621746.5195084
504000 29982651.9431227 22673685.8910186 39838813.4453368 164507186.410422	504000 30560131.3185801 22765002.6061951 44564633.5439867 69660348.9437972
505000 30192470.738986 22575303.6181234 40570232.7731098 170412690.953607	505000 30465460.2870674 22736139.5023834 44905582.8791966 69688680.5952645
506000 30382067.0112252 22429004.667604 41070968.5138484 175065279.328806	506000 30378235.7215631 22710403.4435703 45252659.368198 69706673.4995881
507000 30550621.6495412 22240572.0993489 40395895.3401765 178216767.144084	507000 30298334.8674316 22687773.0822448 45605811.2558069 69714265.1387103
508000 30697393.2644304 22051389.142803 39711736.5577127 179691369.492299	508000 30225646.1914947 22668229.6822318 45964985.0235806 69711398.8507663
509000 30821726.0960998 21861538.7555478 39022117.4258827 179410875.120142	509000 30160068.9849584 22651757.0795291 46096196.923327 69698024.2267875
510000 30923057.174794 21671104.1351266 38330238.3597969 177406323.313655	510000 30101513.0086457 22638341.6486107 45919226.0660499 69674097.5010046
511000 31000922.5901418 21480168.5795483 37638887.142123 173812986.196207	511000 30049898.1781665 22627972.2740641 45764008.7936062 69639581.9316281
512000 31054962.7414785 21260578.6673632 36950458.9407726 168850055.789939	512000 30005154.2869447 22620640.3274495 45628896.9365511 69594448.1690623
513000 31084926.4595674 21011110.389731 36266981.9700291 162790433.673602	513000 29967220.7652946 22616339.649292 45512360.0287131 69538674.6086092
514000 31090673.9122456 20761048.2307193 35590146.8812345 155927831.522888	514000 29936046.4739884 22614984.6727829 45412971.635409 69472247.7248484
515000 31072178.2315713 20510715.7453783 34983544.5208282 148547651.533582	515000 29911589.5309928 22616296.9142569 45329397.4669201 69395162.3850284
516000 31029525.827247 20262214.1783307 34582385.4367716 140905671.912849	516000 29893817.1702726 22620253.9456396 45260385.0285771 69307422.1389779
517000 30962915.3795132 20019885.3982934 34209745.3654917 133215737.177829	517000 29882705.6317687 22626858.0883673 45204754.5995148 69209039.4832337
518000 30872655.5333586 19783831.767682 33866848.2791487 125645474.881418	518000 29878240.0818607 22636113.7506794 45161391.3655379 69100036.0972914
519000 30759161.3437911 19553982.6134579 33554769.3522235 118317928.429446	519000 29880414.5638139 22648027.4361318 45129238.5589913 68980443.0501058
520000 30622949.5480907 19330275.3753892 33274468.9980781 111316786.077529	520000 29889231.9779031 22662607.7564336 44968522.4837661 68850300.9752022
521000 30464632.7645611 19114109.2699367 33026825.5648624 104693242.464565	521000 29904704.0910886 22679865.4486535 44719381.0208137 68851597.4203479
522000 30284912.7375561 18909589.4747043 32996816.8126867 98473102.1654133	522000 29926851.5763046 22699813.3968644 44813975.2536927 68924872.8756087
523000 30084572.7649121 18716352.5816733 33250438.4869548 92663292.8970051	523000 29955704.081606 22722466.6583096 44925290.3283136 68990737.7727179
524000 29864469.4559591 18533772.2766597 33513780.3756862 87257391.5059988	524000 29991300.329604 22747842.4941937 45054114.5740236 69048984.8734556
525000 29625523.9758188 18361279.0920339 33788283.8934505 82240056.8614969	525000 30033688.2478175 22775960.4052175 45201316.0139688 69095596.6631664
526000 29368712.9347114 18198354.3191744 34075527.8271402 77590431.7248336	526000 30082925.1307591 22806842.1719999 45367851.0581332 69129415.4311819
527000 29095059.0796628 18044524.734593 34377242.627087 74157063.3761109	527000 30139077.834786 22840511.9005472 45554774.4280927 69150398.5561563
528000 28805621.9406637 17899358.0145826 34695327.1957411 72313647.7922738	528000 30202223.0069606 22876996.072951 45763250.5180725 69158515.491994
529000 28501488.5744442 17762458.7352015 35031868.6770172 70498836.8682546	529000 30272447.3493949 22916323.6035231 45994566.4369131 69153747.8064168
530000 28183764.5371638 17633464.8720903 35389165.8577105 69288422.022447	530000 30349847.9207988 22958525.900595 46175584.8966486 69136089.1988167
531000 27853565.2030975 17512044.7289454 35769756.9287515 68083178.7761732	531000 30434532.4772161 23003636.9342369 45743278.9160535 69105545.4979195
532000 27512007.5304919 17397894.2351344 36176452.5269698 66825814.4508121	532000 30526619.854215 23051693.3101812 45315833.6008704 69062134.6397949
533000 27160202.3588081 17290734.5624815 36612375.1987936 65583601.3308821	533000 30626240.3931104 23102734.3502598 44893250.9377616 69005886.6267408
534000 26799247.3041992 17190310.0191057 37081006.7111536 64296298.6572545	534000 30733536.4141327 23156802.1796998 44475529.214016 68936843.4675573
535000 26430220.3028344 17096386.1846769 35699433.9230696 62971821.1656133	535000 30848662.7398259 23212892.0919412 44062663.1887533 68855059.0996983
536000 26054173.8350877 17008748.256841 34318605.9411441 61617776.6552204	536000 30971787.2723702 23268730.6041207 43654644.2629903 68760599.2937521
537000 25672129.8480473 16927199.5830565 33029681.2605807 60241393.9203041	537000 31103091.6289682 23324227.8303599 43251460.6479737 68653541.5406588
538000 25285075.3796033 16851560.3558443 31824307.9387745 58849466.6608618	538000 31242771.8399406 23379373.6800417 43206116.3839009 68533974.9220258
539000 24893958.8747522 16781666.4526145 30698799.716053 58024656.017253	539000 31391039.1147265 23434158.180066 43492290.784406 68401999.9638432
540000 24499687.1738687 16717368.4039069 29651028.6707468 57333033.0256388	540000 31548120.6816091 23488571.4824233 43790810.6863096 68257728.4738545
541000 24103123.1435926 16658530.4761466 28674383.4979205 57050930.0595386	541000 31714260.7076773 23542603.8718921 44101899.8321521 68101283.3627756
542000 23705083.9136669 16605029.8569472 27766067.7281567 58273529.4808799	542000 31889721.3063125 23596245.773855 44425785.935909 67932798.4495093
543000 23306339.6774729 16556755.9326456 26945210.4590612 59547071.3146753	543000 32074783.6403662 23649487.7622323 44762700.1742459 67752418.2504536
544000 22907613.0100388 16513609.6491711 26204814.8439251 60871028.9488655	544000 32269749.130176 23702320.5675275 45112876.6101293 67594101.4864828
545000 22509578.6548099 16475502.9485805 25533428.8275274 62244188.5902961	545000 32474940.7766824 23754735.0849813 45476551.5420469 67585714.8493616
546000 22112863.7292943 16442358.2746501 24921753.8330085 63664573.8111912	546000 32690704.6111671 23806722.3828308 45853962.7716201 67570670.7441651
547000 21718048.2996751 16414108.1418503 24362158.1103121 65129367.7118567	547000 32917411.2845614 23858273.7106699 46245348.7819053 67548899.59904
548000 21325666.2754125 16390694.7628396 23848316.7275819 66634834.4456442	548000 33155457.8108982 23909380.5079061 46650947.8181868 67520311.1263863
549000 20936206.5765911 16372069.7303394 23374941.3243405 68176242.5268438	549000 33405269.4813271 23960034.4123105 47070996.8625731 67484793.5165081
550000 20550114.5291166 16358193.7498903 22937574.5335744 69747793.084078	550000 33667301.9672274 24010227.2686568 47505730.493215 67442212.8119046
551000 20167793.4456833 16349036.4205696 22532431.6917296 71346262.4857505	551000 33942043.6333661 24059951.1374456 47955379.6184977 68032002.8429975
552000 19789606.3535771 16344576.0612728 22156277.5994454 72973147.3084702	552000 34230018.0848191 24109198.3037088 48420170.076105 68759186.357605
553000 19415877.8337293 16344799.5806386 21806329.5879426 74617680.1038863	553000 34531786.9745566 24157961.2858916 48883697.546914 69478789.1975456
554000 19046895.9388801 16349702.3891447 21480180.55539 76267472.2337888	554000 34847953.1022609 24206232.8448075 48769582.0725817 70189216.3518586
555000 18687059.3749908 16359288.3523148 21175737.3248769 77909213.5671638	555000 35179163.8391776 24254005.9926618 48646256.1644042 70888798.1557938
556000 18349781.0937672 16373569.7843768 20891170.8735577 79528696.1146972	556000 35526114.9187038 24301274.0021416 48513725.7045615 71575794.9454365
557000 18034460.7804511 16386235.5196905 20624875.8438932 81110887.4462399	557000 35889554.6380985 24348030.415566 48372020.1296751 72248402.7801042
558000 17739468.8025177 16372146.6495316 20375437.3746143 82640057.1644695	558000 36270288.523321 24394269.0540958 48221192.1127334 73031144.8873029
559000 17463347.7620481 16363381.3184511 20141603.7500193 84099958.2111267	559000 36669184.5167111 24439984.0269969 48061317.1252676 74070590.4819961
560000 17204791.1211396 16359886.7753265 20087103.5866313 85474062.542838	560000 37087178.7562532 24485169.7409559 47892492.88394 75097980.565993
561000 16962624.9804701 16361623.0334658 20044727.0973801 86745847.8045639	561000 37525282.0257428 24529820.9094434 47714838.6868316 76111311.3448335
562000 16735792.4847841 16341228.3763359 20008557.8033787 87899128.2094981	562000 37984586.967626 24573932.5621236 47528494.6457528 77108547.6137102
563000 16523340.4273858 16321319.7497088 19978569.7420696 88918419.1599467	563000 38466276.1649607 24617500.0543061 47333620.8218425 78087633.5070348
564000 16324407.7038676 16151302.471641 19954750.0636625 89789321.558581	564000 38971631.2163303 24660519.0764398 47130396.272549 79046504.0520865
565000 16138215.3277912 15978035.0819916 19937099.1310481 90498908.6711855	565000 39502042.9481694 24702985.6636435 46919018.0187874 79983097.4141581
566000 15964057.7712591 15793063.9191884 19925630.6969587 91036096.2363948	566000 40059022.9335429 24744896.2052758 46699699.9416435 80895367.6968206
567000 15801295.4339115 15620456.4406507 19920372.1614858 91391975.6583755	567000 40644216.515797 24786247.4545389 46472671.6184334 81781298.1382173
568000 15649348.0768551 15459515.2986909 19921364.9140336 91560090.8395766	568000 41259417.5707575 24827036.5381181 46238177.1082242 82638914.5235346
569000 15507689.0849385 15309611.1745856 19792179.0865588 91536641.6187294	569000 41904031.3634114 24867260.965856 45996473.6970872 83466298.615852
570000 15375840.4428612 15170175.7050654 19638368.0132069 91320600.7735701	570000 42557543.1663036 24906918.6404602 45747830.613382 84261601.393342
571000 15253368.3287811 15040695.3452782 19502227.3757865 90913736.8146969	571000 43214574.8897661 24946007.8672462 45492527.7232701 85023055.8711016
572000 15139879.2441259 14920706.031998 19382871.1834892 90320540.8419525	572000 43874496.4847412 24984527.3639163 45230854.2164354 86430784.3742923
573000 15035016.610818 14809788.5336138 19279538.8363897 89548061.94841	573000 44536631.2156308 25022476.2703755 44963107.2916552 87892087.7108995
574000 14938457.7775534 14707564.3920558 19191582.093672 88605661.4045562	574000 45200254.8018299 25059854.1585877 44689590.8514349 89360087.6526714
575000 14849911.3855204 14613692.3771257 19118454.3187631 87504700.5704029	575000 45864594.779028 25096661.0424728 44410614.2143937 90833382.5995821
576000 14769115.0513085 14527865.3863427 19059701.6544362 86258180.7489359	576000 46528830.1102732 25132897.3878518 44126490.8534973 92310466.9455466
577000 14695833.3309832 14449807.7339162 19014955.8536375 84880354.793743	577000 47192091.0775471 25168564.1224402 43837537.1675687 93789724.4945261
578000 14629855.9345935 14379272.7812122 18983928.5503746 83386330.2143452	578000 47853459.4849629 25203662.6458979 43544071.2928068 95269421.6507333
579000 14570996.164896 14316040.8684179 18966406.8029234 81791681.974071	579000 48511969.2046191 25238194.8399393 43246411.9602994 96747700.5015421
580000 14519089.5579594 14259917.5132969 18962249.7815151 80112090.4784554	580000 49166607.0955487 25272163.0785121 42944877.4047533 98222571.9410704
581000 14473992.7066619 14210731.8481671 18971386.5066362 78363016.8152778	581000 49816314.3250219 25305570.2380509 42639784.3288946 99691909.0123081
582000 14435582.2510095 14168335.2706996 19159543.2621732 76559423.5502313	582000 50459988.1196327 25338419.7078152 42331446.9272235 101153440.675134
583000 14403754.0217515 14132600.2879725 19361437.08685 74715545.6815488	583000 51096483.9710802 25370715.4003218 42020175.9720517 102604746.23556
584000 14378422.3260306 14103419.5365261 19570443.8976769 72844713.0092224	584000 51724618.3182701 25402461.7618808 41706277.9640174 104043250.696829
585000 14359519.3658157 14080704.9640549 19614334.3852365 70959222.3787972	585000 52343171.723306 25433663.7832494 41390054.3485738 105466221.314377
586000 14346994.7816866 14064387.1609193 19654619.1078921 69070256.1175439	586000 52950892.5540743 25464327.0104145 41071800.7992807 106870765.652722
587000 14340815.3162048 14054414.8319214 19698736.9405115 67187841.5089864	587000 53546501.1804557 25494457.5555207 40751806.5681101 108253831.45181
588000 14340964.5926541 14050754.4008376 19746524.5234921 65320845.3025824	588000 54128694.6847473 25524062.1079574 40430353.9024058 109612208.611913
589000 14347443.0063949 14053389.7420688 19797829.6155461 63476996.9391643	589000 54696152.0796906 25553147.945624 40107717.5276135 110942533.598544
590000 14360267.7274846 14062322.035516 19852510.6913449 61662934.2786656	590000 55247540.0196506 25581722.9463909 39784164.1944353 112241296.551052
591000 14379472.8145967 14077569.7424399 19910436.6319738 59884266.0296557	591000 55781518.9820796 25609795.5997781 39460011.8092941 113504851.349656
592000 14405109.441652 14099168.7016654 19971486.5028987 58145645.693226	592000 56296749.8875608 25637375.0188714 39246787.7148321 114729428.855128
593000 14437246.2399848 14127172.3470739 20035549.4150869 56450852.555097	593000 56791901.1176124 25664470.9525018 39076771.6643298 115911153.482883
594000 14475969.7603317 14161652.0489205 20102524.4657771 54802876.0165101	594000 57265655.8802432 25691093.7977142 38919878.9743254 117046063.209128
595000 14521385.0604845 14202697.583163 20213213.7322413 53204000.2926249	595000 57716719.8641839 25717254.6125513 38775786.6559128 118130133.031574
596000 14573616.4261207 14250417.7347158 20367422.428651 51655887.1903314	596000 58143829.114014 25742965.1291846 38644204.5938353 119159301.822348
597000 14632808.2341519 14304941.0423958 20517599.7988426 50159655.2838943	597000 58545758.0503005 25768237.7674235 38524873.8552984 120129502.417816
598000 14699125.9699564 14366416.6953455 20663508.1583299 48715954.326538	598000 58921327.5516214 25793085.648638 38417565.2131419 121036694.691586
599000 14772757.4121298 14428685.1705346 20804911.2625337 47325034.1673757	599000 59269413.0091997 25817522.6101314 38322077.8665815 121876901.255709
6e+05 14853914.0009568 14477436.9748105 20941575.1776027 45986807.7902197	6e+05 59588952.2600781 25841563.2200026 38238238.345287 122646245.334679
601000 14942832.409738 14533735.8436067 21073269.1773709 44700908.3616135	601000 59878953.3015209 25856037.3570914 38165899.5848524 123340990.260819
602000 15039776.3414793 14597759.2658076 21199766.6609007 43466740.3796049	602000 60138501.687838 25843181.665323 38103009.2368935 123957579.952256
603000 15145038.5773568 14669711.641973 21320846.0845306 42283525.1626478	603000 60366767.5112284 25830268.8221593 38046524.8587064 124492679.659938
604000 15258943.3079224 14749825.9875264 21436291.901861 41150341.0196692	604000 60563011.8706335 25817298.3438406 37996163.0559205 124943216.211982
605000 15381848.7833451 14838365.9150583 21545895.5046911 40066158.5070809	605000 60726592.7370254 25804270.8762722 37951678.4856827 125306416.945759
606000 15514150.3252585 14935627.9286451 21649456.1575725 39029871.2146377	606000 60856970.130004 25791188.187174 37912838.0678761 125579846.503335
607000 15656283.7502081 15041944.069355 21746781.9183773 38040322.5366434	607000 60953710.5289774 25778053.1598117 37879420.1643748 125761440.676482
608000 15808729.2635085 15157684.9585075 21837690.5371097 37096328.8840593	608000 61016490.4523833 25764869.7882993 37851213.8253756 125849536.524493
609000 15972015.8928431 15283263.2940221 21922010.3251175 36196699.7814682	609000 61045099.1502032 25751643.1744688 37828018.0968618 125842898.051432
610000 16146726.5435476 15419137.865669 21999580.9868976 35342060.5098264	610000 61039440.3681359 25738379.5263119 37809641.3838685 125740736.817991
611000 16333503.7726956 15565818.1676036 22070254.4068385 34554082.2136424	611000 60999533.1559511 25725086.1580048 37795900.8647667 125542726.974192
612000 16533056.3974466 15723573.5099572 22133895.3835023 33834121.2017523	612000 60925511.7073778 25711771.4915355 37786621.9522632 125249014.329185
613000 16746167.0753945 15886426.4668603 22190382.3044289 33176197.5731674	613000 60817624.2340335 25698445.0599607 37781637.7972473 124860219.218552
614000 16973701.0218175 16051802.9626361 22239607.7549245 33080020.6912853	614000 60676230.8909931 25685117.5123269 37780788.8319948 124377433.082481
